iter	Passed	Remaining
0	105	105830
1	108	53921
2	110	36727
3	114	28597
4	116	23254
5	118	19570
6	120	17148
7	123	15320
8	125	13800
9	126	12560
10	128	11532
11	131	10786
12	131	10020
13	133	9419
14	136	8969
15	139	8554
16	140	8139
17	141	7731
18	145	7487
19	147	7222
20	149	6964
21	153	6816
22	155	6606
23	157	6391
24	159	6213
25	162	6081
26	163	5909
27	165	5754
28	168	5644
29	171	5551
30	174	5457
31	178	5398
32	180	5283
33	183	5217
34	187	5158
35	189	5069
36	192	5015
37	195	4948
38	199	4907
39	202	4851
40	203	4766
41	206	4701
42	209	4652
43	210	4582
44	212	4515
45	216	4490
46	218	4433
47	220	4364
48	223	4331
49	225	4289
50	229	4262
51	233	4261
52	235	4207
53	236	4146
54	240	4135
55	242	4088
56	244	4038
57	246	4008
58	248	3969
59	250	3921
60	251	3875
61	254	3847
62	256	3810
63	257	3771
64	260	3740
65	262	3720
66	264	3689
67	266	3656
68	268	3621
69	270	3599
70	272	3566
71	273	3531
72	275	3496
73	277	3472
74	279	3445
75	280	3414
76	282	3384
77	283	3354
78	286	3338
79	288	3313
80	289	3288
81	291	3260
82	293	3243
83	295	3220
84	297	3198
85	299	3181
86	302	3169
87	303	3149
88	305	3128
89	307	3105
90	309	3094
91	311	3074
92	312	3051
93	314	3029
94	316	3013
95	318	3001
96	320	2984
97	322	2963
98	323	2942
99	325	2928
100	327	2911
101	328	2891
102	329	2873
103	331	2855
104	333	2843
105	335	2831
106	337	2813
107	338	2795
108	340	2783
109	342	2769
110	343	2753
111	345	2737
112	346	2721
113	349	2713
114	350	2699
115	352	2684
116	353	2669
117	355	2657
118	357	2646
119	358	2632
120	360	2618
121	361	2604
122	363	2594
123	365	2583
124	367	2570
125	368	2557
126	370	2543
127	372	2536
128	373	2524
129	375	2512
130	376	2500
131	378	2488
132	380	2481
133	382	2469
134	383	2457
135	384	2445
136	386	2435
137	388	2429
138	390	2419
139	392	2408
140	393	2398
141	395	2391
142	397	2383
143	399	2372
144	400	2361
145	402	2351
146	404	2347
147	406	2339
148	408	2330
149	409	2321
150	412	2318
151	414	2312
152	416	2306
153	419	2302
154	421	2298
155	423	2291
156	425	2284
157	428	2281
158	430	2274
159	431	2266
160	433	2258
161	438	2267
162	440	2263
163	443	2260
164	446	2259
165	448	2253
166	451	2249
167	454	2251
168	456	2246
169	461	2251
170	464	2251
171	466	2247
172	471	2253
173	473	2249
174	477	2251
175	480	2247
176	482	2244
177	486	2245
178	488	2241
179	492	2241
180	494	2236
181	496	2230
182	498	2226
183	501	2225
184	503	2220
185	507	2218
186	509	2214
187	513	2219
188	517	2218
189	519	2215
190	521	2209
191	524	2208
192	527	2204
193	529	2199
194	533	2200
195	535	2195
196	537	2189
197	541	2192
198	543	2186
199	545	2182
200	548	2180
201	551	2179
202	554	2175
203	556	2172
204	558	2167
205	561	2163
206	564	2162
207	566	2155
208	567	2148
209	571	2148
210	572	2141
211	574	2135
212	576	2130
213	578	2125
214	580	2120
215	582	2113
216	585	2113
217	588	2109
218	589	2103
219	592	2099
220	595	2097
221	596	2091
222	599	2088
223	602	2087
224	604	2081
225	606	2075
226	610	2079
227	612	2074
228	614	2069
229	617	2068
230	619	2063
231	622	2059
232	625	2059
233	627	2054
234	629	2049
235	632	2048
236	634	2043
237	636	2036
238	638	2032
239	641	2032
240	644	2028
241	646	2025
242	650	2026
243	653	2023
244	656	2021
245	658	2019
246	661	2017
247	664	2016
248	667	2013
249	669	2009
250	672	2007
251	674	2002
252	676	1998
253	679	1995
254	682	1992
255	684	1989
256	687	1986
257	689	1982
258	690	1976
259	693	1973
260	695	1969
261	697	1964
262	698	1957
263	700	1953
264	703	1951
265	705	1947
266	707	1941
267	710	1941
268	713	1938
269	715	1934
270	717	1930
271	720	1927
272	721	1922
273	723	1917
274	727	1918
275	730	1914
276	734	1918
277	736	1913
278	739	1909
279	741	1907
280	744	1904
281	745	1899
282	748	1895
283	751	1894
284	753	1889
285	755	1885
286	759	1887
287	761	1882
288	762	1877
289	765	1874
290	767	1870
291	769	1866
292	771	1862
293	774	1859
294	775	1854
295	777	1849
296	779	1845
297	781	1841
298	783	1836
299	784	1830
300	786	1825
301	788	1821
302	789	1816
303	791	1811
304	792	1806
305	794	1802
306	796	1798
307	798	1793
308	799	1788
309	801	1783
310	803	1780
311	805	1776
312	807	1771
313	808	1766
314	810	1763
315	812	1758
316	814	1754
317	815	1749
318	816	1744
319	819	1740
320	820	1735
321	822	1731
322	823	1726
323	825	1721
324	827	1718
325	828	1713
326	830	1708
327	831	1703
328	833	1700
329	835	1697
330	837	1693
331	839	1688
332	840	1684
333	842	1680
334	844	1676
335	846	1672
336	848	1668
337	849	1664
338	852	1662
339	854	1658
340	856	1654
341	857	1650
342	860	1647
343	862	1644
344	863	1640
345	865	1636
346	868	1633
347	869	1629
348	871	1625
349	873	1621
350	875	1618
351	877	1614
352	878	1610
353	880	1606
354	881	1602
355	883	1599
356	885	1595
357	887	1591
358	888	1587
359	891	1584
360	893	1580
361	894	1576
362	896	1572
363	897	1568
364	900	1566
365	902	1562
366	903	1558
367	905	1554
368	907	1551
369	909	1548
370	910	1544
371	912	1540
372	914	1536
373	916	1533
374	917	1529
375	919	1526
376	921	1522
377	923	1519
378	925	1516
379	927	1513
380	928	1509
381	931	1507
382	933	1503
383	935	1500
384	936	1496
385	948	1509
386	950	1505
387	951	1501
388	953	1497
389	956	1495
390	957	1491
391	959	1487
392	960	1484
393	963	1482
394	965	1478
395	967	1475
396	968	1471
397	970	1468
398	972	1465
399	974	1462
400	976	1458
401	980	1458
402	983	1456
403	985	1453
404	987	1450
405	989	1447
406	991	1444
407	993	1441
408	996	1439
409	997	1435
410	999	1432
411	1001	1429
412	1003	1426
413	1005	1423
414	1007	1420
415	1010	1418
416	1012	1415
417	1014	1412
418	1016	1409
419	1019	1407
420	1021	1404
421	1023	1401
422	1026	1399
423	1028	1396
424	1029	1393
425	1031	1389
426	1033	1386
427	1034	1383
428	1036	1379
429	1038	1376
430	1039	1372
431	1041	1370
432	1043	1366
433	1045	1363
434	1046	1359
435	1048	1356
436	1050	1353
437	1052	1350
438	1054	1346
439	1055	1343
440	1057	1340
441	1059	1338
442	1061	1334
443	1063	1331
444	1065	1328
445	1067	1325
446	1072	1326
447	1074	1323
448	1075	1319
449	1076	1316
450	1078	1312
451	1080	1310
452	1082	1307
453	1083	1303
454	1085	1300
455	1086	1296
456	1088	1293
457	1090	1290
458	1091	1286
459	1093	1283
460	1094	1279
461	1096	1276
462	1098	1274
463	1100	1270
464	1102	1268
465	1104	1265
466	1106	1262
467	1107	1259
468	1109	1255
469	1110	1252
470	1113	1250
471	1115	1247
472	1116	1244
473	1118	1241
474	1120	1238
475	1122	1235
476	1124	1232
477	1125	1229
478	1126	1225
479	1128	1223
480	1130	1219
481	1132	1216
482	1133	1213
483	1135	1210
484	1137	1207
485	1138	1204
486	1140	1201
487	1141	1197
488	1143	1195
489	1145	1192
490	1146	1188
491	1148	1185
492	1149	1182
493	1151	1179
494	1153	1176
495	1154	1173
496	1156	1170
497	1157	1167
498	1159	1164
499	1161	1161
500	1163	1158
501	1164	1155
502	1166	1152
503	1168	1149
504	1169	1146
505	1170	1143
506	1172	1140
507	1173	1136
508	1175	1134
509	1177	1131
510	1179	1128
511	1180	1125
512	1182	1122
513	1184	1120
514	1186	1117
515	1188	1114
516	1190	1112
517	1192	1109
518	1194	1107
519	1196	1104
520	1197	1101
521	1201	1099
522	1202	1097
523	1204	1094
524	1206	1091
525	1208	1088
526	1210	1086
527	1211	1083
528	1213	1080
529	1216	1078
530	1218	1075
531	1219	1072
532	1221	1069
533	1223	1067
534	1225	1064
535	1226	1062
536	1228	1059
537	1229	1056
538	1232	1054
539	1234	1051
540	1235	1048
541	1237	1045
542	1239	1043
543	1241	1040
544	1242	1037
545	1244	1034
546	1246	1032
547	1248	1029
548	1250	1026
549	1251	1024
550	1253	1021
551	1255	1019
552	1257	1016
553	1259	1013
554	1260	1010
555	1262	1008
556	1264	1005
557	1266	1003
558	1268	1000
559	1270	998
560	1272	995
561	1274	993
562	1276	990
563	1279	989
564	1281	986
565	1282	983
566	1284	980
567	1286	978
568	1287	975
569	1289	972
570	1291	969
571	1292	967
572	1294	964
573	1296	962
574	1297	959
575	1299	956
576	1300	953
577	1302	951
578	1304	948
579	1305	945
580	1307	942
581	1309	940
582	1311	938
583	1313	935
584	1314	932
585	1316	929
586	1318	927
587	1320	924
588	1321	922
589	1322	919
590	1324	916
591	1326	914
592	1327	911
593	1329	908
594	1330	905
595	1332	903
596	1334	900
597	1335	897
598	1337	895
599	1338	892
600	1340	889
601	1342	887
602	1343	884
603	1345	882
604	1346	879
605	1348	876
606	1350	874
607	1352	871
608	1353	869
609	1355	866
610	1356	863
611	1358	861
612	1360	858
613	1361	855
614	1362	853
615	1364	850
616	1366	847
617	1367	845
618	1368	842
619	1370	839
620	1371	837
621	1373	834
622	1375	832
623	1376	829
624	1378	826
625	1379	824
626	1381	822
627	1383	819
628	1384	816
629	1386	814
630	1387	811
631	1389	809
632	1391	806
633	1392	803
634	1393	801
635	1395	798
636	1397	796
637	1398	793
638	1400	790
639	1401	788
